id,name,type,age,year,sector,genre,land,regie,Ed Bye,eb
tpwiw,The Play What I Wrote,2,13,2002,4,6,UK,,Ricky Geravis,rg 
famtwu,Foley and Mccoll This Way Up,2,16,2005,1,6,UK,,Rod Hardy,rh
ex,Extras,2,17,2006,2,6,UK,,Brian Kirk,bk
db,December Boys,2,18,2007,1,2,AUS,,Bob Anderson,ba
eq,Equus,2,18,2007,4,2,UK,,James Watkins,jw
mbj,My Boy Jack,2,18,2007,1,2,UK,,Seth Green,sg
ds22,Die Simpsons,2,21,2010,2,8,US,,Lucy Needs,ln
htsibwrt,How to Suceed in Business Without Really Trying ,2,22,2011,4,6,US,,John Krokidas,jk
twib,The Woman in Black,2,23,2012,1,4,UK,,Michael Dowse,md
robc,Robot Chicken,2,23,2012,2,8,US,,Alexandre Aja,aa
bg,Beginners,2,23,2012,5,9,UK,,Matthew Schofield,ms
ydn,A Young Doctors Notebook,2,23,2012,2,2,UK,,Judd Apatow,ja
kyd,Kill your Darlings,2,24,2013,1,2,US,,Loui Psihoyos,lp
tfw,The F-Word,2,24,2013,1,6,CAN,,Paul McGuigan,pmcg
hr,Horns,2,24,2013,1,3,US,,John M Chu,jmc
tcoiUK,The Cripple of Inishmaan,2,24,2013,4,6,UK,,Daniel Ragussis,drg
tcoiUS,The Cripple of Inishmaan,2,25,2014,4,6,US,,Dan Kwan,dk
ds25,Die Simpsons,2,25,2014,2,8,US,,Woody Harrelson,wh
tw ,Trainwreck,2,26,2015,1,6,US,,Greg McLean,gmcl
bjh2,BoJack Horseman,2,26,2015,2,8,US,,David Leveaux,dl
tg,The Gamechanger,2,26,2015,1,7,UK,,Jesper Granslandt,jg
vf,Victor Frankenstein,2,26,2015,1,4,UK,,Lino DiSalvo,lds
nysm2,Now You See Me 2,2,27,2016,1,1,US,,Simon Rich,sr
ip,Imperium,2,27,2016,1,7,US,,Jason Howden,jh
sam,Swiss Army Man,2,27,2016,1,6,US,,Francis Annan,fa 
lil,Lost in London,2,28,2017,1,6,US,,Robert Carlock,rc
jgle,Jungle,2,28,2017,1,1,AUS,,Aaron Nee,an
ragad,Rosencrantz & Guildenstern are Dead,2,28,2017,4,6,UK,,Eric Appel,ea
bob,Beast of Burden,2,29,2018,1,1,US,,Dan Harmon,dh 
tloaf,The Lifespan of a Fact,2,29,2018,4,6,US,,Ralph Bob Waksberg,rbw
pm,Playmobil,2,30,2019,1,8,FR,,,
bjh6,BoJack Horseman,2,30,2019,2,8,US,,,
mw1,Miracle Workers,2,30,2019,2,6,US,,,
ga,Guns Akimbo,2,30,2019,1,1,DE,,,
mw2,Miracle Workers,2,31,2020,2,6,US,,,
efp,Escape from Pretonia,2,31,2020,1,7,UK,,,
uks,Unbreakable Kimmy Schmidt,2,31,2020,2,6,US,,,
eg,Endgame,2,31,2020,4,2,UK,,,
mw3,Miracle Workers,2,32,2021,2,6,US,,,
tlc,The Lost City,2,33,2022,1,1,UK,,,
pc,Profession Comedien,2,33,2022,2,6,FR,,,
wrd,Weird,2,33,2022,1,7,US,,,
ram ,Rick and Morty,2,33,2022,2,8,US,,,
dr,Daniel Radcliffe,1,,1989,7,,,,,
we,West End,2,,,9,,,,,
bbc,BBC,2,,,9,,,,,
ffca,Film Finance Corporation Australia,2,,,9,,,,,
ef ,Ecosse Films,2,,,9,,,,,
20thcs,20th Century Studios,2,,,9,,,,,
bw,Broadway,2,,,9,,,,,
hf,Hammer Filme,2,,,9,,,,,
sbs,Stoopid Buddy Stoodios,2,,,9,,,,,
sc,Slow Club,2,,,9,,,,,
kf,Killer Films,2,,,9,,,,,
cf,Caramel Film,2,,,9,,,,,
rgp,Red Granite Pictures,2,,,9,,,,,
ap,Apatow Productions,2,,,9,,,,,
rfp,ReFuel Productions,2,,,9,,,,,
lge,Lions Gate Entertainment,2,,,9,,,,,
gegllc,Grindstone Entertainment Group LLC,2,,,9,,,,,
cip,Cold Iron Pictures,2,,,9,,,,,
tf ,Tiberius Film,2,,,9,,,,,
mp,Momentum Pictures,2,,,9,,,,,
ovc,Old Vic Theatre,2,,,9,,,,,
stxf,STX Films,2,,,9,,,,,
pp,Paramount Pictures,2,,,9,,,,,
fod,Funny or Die,2,,,9,,,,,
ws ,Williams Street,2,,,9,,,,,
tco,Tornate Co,2,,,9,,,,,
btp,Big Talk Productions,2,,,9,,,,,
eb,Ed Bye,1,,,8,,,,,
rg ,Ricky Geravis,1,,,8,,,,,
rh,Rod Hardy,1,,,8,,,,,
bk,Brian Kirk,1,,,8,,,,,
ba,Bob Anderson,1,,,8,,,,,
jw,James Watkins,1,,,8,,,,,
sg,Seth Green,1,,,8,,,,,
ln,Lucy Needs,1,,,8,,,,,
jk,John Krokidas,1,,,8,,,,,
md,Michael Dowse,1,,,8,,,,,
aa,Alexandre Aja,1,,,8,,,,,
ms,Matthew Schofield,1,,,8,,,,,
ja,Judd Apatow,1,,,8,,,,,
lp,Loui Psihoyos,1,,,8,,,,,
pmcg,Paul McGuigan,1,,,8,,,,,
jmc,John M Chu,1,,,8,,,,,
drg,Daniel Ragussis,1,,,8,,,,,
dk,Dan Kwan,1,,,8,,,,,
wh,Woody Harrelson,1,,,8,,,,,
gmcl,Greg McLean,1,,,8,,,,,
dl,David Leveaux,1,,,8,,,,,
jg,Jesper Granslandt,1,,,8,,,,,
lds,Lino DiSalvo,1,,,8,,,,,
sr,Simon Rich,1,,,8,,,,,
jh,Jason Howden,1,,,8,,,,,
fa ,Francis Annan,1,,,8,,,,,
rc,Robert Carlock,1,,,8,,,,,
an,Aaron Nee,1,,,8,,,,,
ea,Eric Appel,1,,,8,,,,,
dh ,Dan Harmon,1,,,8,,,,,
rbw,Ralph Bob Waksberg,1,,,8,,,,,
